Date	Time	Event	Length	Data
2026/01/13	10:49:02.319	RX	217	D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 28 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 01 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 01 0F 0B 0F 07 0F 08 0F 07 0F 09 0F 0F 0F 0C 0F 0C 0F 0C 0F 13 0F 16 0F 1B 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 09 04
2026/01/13	10:49:03.719	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:49:03.728	RX	217	D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 28 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 01 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 01 0F 0B 0F 07 0F 09 0F 07 0F 09 0F 0E 0F 0C 0F 0C 0F 0C 0F 13 0F 16 0F 1B 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 09 05
2026/01/13	10:49:05.218	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:49:05.234	RX	217	D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 28 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 01 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 01 0F 0B 0F 08 0F 09 0F 07 0F 09 0F 0E 0F 0C 0F 0C 0F 0C 0F 13 0F 16 0F 1B 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 09 07
2026/01/13	10:49:06.704	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:49:06.723	RX	217	D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 28 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 00 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 00 0F 0B 0F 08 0F 09 0F 07 0F 09 0F 0E 0F 0C 0F 0C 0F 0C 0F 13 0F 16 0F 1B 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 09 08
2026/01/13	10:49:08.328	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:49:08.362	RX	217	D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 28 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 01 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 01 0F 0B 0F 08 0F 08 0F 07 0F 09 0F 0E 0F 0C 0F 0B 0F 0C 0F 13 0F 16 0F 1B 0F 11 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 09 10
2026/01/13	10:49:09.867	TX	8	09 04 14 00 00 6C F4 9F
