Date	Time	Event	Length	Data
2026/01/13	02:00:59.138	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:00:59.150	RX FC1	10	00 01 00 00 00 04 01 01 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:00:59.150	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:00:59.150	RX FC1	2	01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:00.142	TX FC6	12	00 0E 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:00.142	TX FC6	12	00 01 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:00.143	RX FC106	4	00 6A 00 00   (unit=0)
2026/01/13	02:01:00.143			OPC: TX: OPC->Modbus WRITE_OK: Channel2.Device1.MF
2026/01/13	02:01:00.161	TX FC2	12	00 0F 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:00.188	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:00.212	RX FC2	10	00 01 00 00 00 04 01 02 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:00.212	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:00.212	RX FC2	2	01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:00.398	TX FC16	17	00 11 00 00 00 0B 01 10 00 5F 00 02 04 42 48 00 00   (unit=1)
2026/01/13	02:01:00.398	TX FC6	12	00 12 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:00.398	TX FC16	17	00 01 00 00 00 0B 01 10 00 5F 00 02 04 42 48 00 00   (unit=1)
2026/01/13	02:01:00.399	TX FC6	12	00 01 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:00.404			OPC: TX: OPC->Modbus WRITE_CALL: Channel2.Device1.MF => [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026/01/13	02:01:00.428			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.MF
2026/01/13	02:01:00.428			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.Tag1
2026/01/13	02:01:00.549			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.MF => [45.0, 5.0, 0.0, 2.0, 600.0000610351562, 3.0, 25.0, 5.0, 25.0, 0.0, 0.0, 0.0, 0.0, -50.0, 0.0, 30.0, 30.0, 600.0, 1.194640759649701e-07, 0.20589998364448547, 0.0, 0.0, 0.0, 0.20589998364448547, 0.0]
2026/01/13	02:01:00.549			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.Tag1 => 45.0
2026/01/13	02:01:01.213	TX FC3	12	00 13 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:01.231	TX FC3	12	00 01 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
