Date	Time	Event	Length	Data
----------------------------------------------------------------------------------------------------
2026/01/13	02:00:54.765	TX FC3	12	00 01 00 00 00 06 01 03 00 5F 00 32   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:54.811	TX FC3	12	00 01 00 00 00 06 01 03 00 5F 00 32   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:54.858	RX FC3	109	00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 01 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 34 00 46 09 A3 05 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 A3 05 3E 52 00 00 00 00   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:54.858	TX FC3	12	00 01 00 00 00 06 01 03 00 5F 00 32   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:54.858	RX FC3	101	64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 01 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 34 00 46 09 A3 05 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 A3 05 3E 52 00 00 00 00   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:55.865	TX FC4	12	00 04 00 00 00 06 01 04 00 5D 00 01   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:55.866			OPC: TX: OPC->Modbus WRITE_CALL: Channel2.Device1.MF => [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026/01/13	02:00:55.951	TX FC4	12	00 01 00 00 00 06 01 04 00 5D 00 01   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:55.998	RX FC4	11	00 01 00 00 00 05 01 04 02 00 00   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:55.998	TX FC4	12	00 01 00 00 00 06 01 04 00 5D 00 01   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:55.998	RX FC4	3	02 00 00   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:56.067			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.MF => [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026/01/13	02:00:56.067			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.Tag1 => 0.0
2026/01/13	02:00:57.011	TX FC1	12	00 06 00 00 00 06 01 01 00 67 00 01   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:57.073	TX FC1	12	00 01 00 00 00 06 01 01 00 67 00 01   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:57.117	RX FC1	10	00 01 00 00 00 04 01 01 01 00   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:57.117	TX FC1	12	00 01 00 00 00 06 01 01 00 67 00 01   (unit=1, host=192.168.11.10, port=502)
2026/01/13	02:00:57.118	RX FC1	2	01 00   (unit=1, host=192.168.11.10, port=502)
