時間	通訊碼
01:06:21.869	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 3A 28 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 3A 28 3E 52 00 00 00 00 |
01:06:22.096	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:22.109	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:22.892	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:22.897	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA D7 72 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 D7 72 3E 52 00 00 00 00 |
01:06:23.151	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:23.165	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:23.934	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:23.942	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 74 BD 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 74 BD 3E 53 00 00 00 00 |
01:06:24.207	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:24.220	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:24.983	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:24.989	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 40 4E 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 40 4E 3E 53 00 00 00 00 |
01:06:25.264	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:25.278	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:26.025	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:26.031	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 8E F5 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 8E F5 3E 53 00 00 00 00 |
01:06:26.321	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:26.336	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:27.065	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:27.071	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA A9 2A 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 A9 2A 3E 53 00 00 00 00 |
01:06:27.375	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:27.389	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:28.105	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:28.110	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 40 4E 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 40 4E 3E 53 00 00 00 00 |
01:06:28.431	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:28.444	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:29.147	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
